trial,candidate_key,status,overall_mean,period_stddev,peak_period_att,high_period_count,elapsed_seconds,return_code,trial_dir,error,alternative_route_min_active_multiplier,alternative_route_min_pressure,berth_carried_teu_weight,berth_final_unload_weight,berth_handling_penalty_weight,berth_min_unloading_teu_advantage,berth_override_margin,berth_transshipment_unload_weight,berth_unload_age_weight,berth_wait_weight,booking_call_history_size,booking_default_headway_days,booking_handling_buffer_days,booking_max_direct_extra_sailing_days,booking_max_headway_days,booking_min_direct_saving_days,booking_min_headway_days,booking_partial_prefix_end_measured_day,booking_partial_prefix_start_measured_day,closed_port_risk_penalty_days,congestion_risk_penalty_days,disruption_lookahead_days,enable_controlled_alternative_routes,enable_custom_berth_priority,enable_hub_transfer_consolidation,enable_in_transit_replanning,enable_initial_time_routing,enable_schedule_aware_booking,expected_route_wait_days,hard_congestion_multiplier,no_deployed_vessel_penalty_days,port_arrival_vessel_penalty_days,port_storage_penalty_days_per_1000_teu,port_storage_sample_size,replan_disruption_trigger_days,replan_min_saving_days,route_pressure_penalty_days,route_pressure_sample_size,suppress_kaohsiung_s2_detour,transshipment_penalty_days
71,587eaec3e86d3f6f7b53a0e471f09d1d3428780c,success,19.91,0.89,21.99,7,920.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00071_587eaec3e8,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,9.5,0.5,3.25,250.0,81.0,11.5,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.25,7.0,5.0,0.25,0.32,600.0,0.25,1.0,1.1,240.0,0.0,2.1
72,0719e7c314cb5aaa764309a7ad78c84de0248ac7,success,21.13,1.91,25.92,34,950.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00072_0719e7c314,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.0,9.0,0.25,3.5,250.0,81.0,12.0,1.0,16.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.2,0.35,600.0,0.25,1.0,0.8,240.0,0.0,2.2
73,9a3a1e80d8b3f2e1762a4a218c2cfa4b16fa5f0d,success,19.91,0.89,21.99,7,960.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00073_9a3a1e80d8,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,10.0,0.5,3.25,250.0,81.0,11.5,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5,7.0,5.0,0.2,0.33,600.0,0.25,1.0,0.8,240.0,0.0,2.1
74,5f5c36f55585c576c8da10e5825b2443146db178,success,20.48,1.26,23.07,26,930.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00074_5f5c36f555,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.45,2.25,9.5,0.5,3.5,250.0,81.0,12.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5,7.0,5.0,0.15,0.33999999999999997,600.0,0.25,1.0,0.8,240.0,0.0,2.2
75,b7e96cb075511f14ee293e8befbf016471e83061,success,19.91,0.89,21.99,7,935.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00075_b7e96cb075,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,9.5,0.5,3.25,250.0,81.0,11.5,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5,7.0,5.0,0.25,0.33,600.0,0.25,1.0,0.8,240.0,0.0,2.1
76,66f1dbb6ff7802f8dcaf533f0b5b6cc004f8b535,success,20.53,1.51,24.39,22,920.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00076_66f1dbb6ff,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.5,2.0,9.5,0.25,3.25,250.0,81.0,14.0,1.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5,7.0,5.0,0.2,0.33,600.0,0.25,1.0,0.8,240.0,0.0,2.1
77,d7fa5cf99bac1114ea462b2f25e48624ed8f9fb8,success,19.91,0.89,21.99,7,940.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00077_d7fa5cf99b,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,9.5,0.5,3.25,250.0,81.0,11.5,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.25,0.32,600.0,0.25,1.0,0.8,240.0,0.0,2.1
78,3118dcc86f00f49b5b1c58f0ba10d863e0d640f9,success,21.15,1.9,25.92,34,935.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00078_3118dcc86f,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.0,9.0,0.25,3.25,250.0,81.0,12.0,1.0,16.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.15,0.33999999999999997,600.0,0.25,1.0,0.8,240.0,0.0,2.1
79,e19606cdafbaf748c07b073a35e2fc6a79f2401a,success,20.42,1.37,24.01,26,905.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00079_e19606cdaf,,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,9.5,0.5,3.5,250.0,81.0,11.5,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,7.0,5.0,0.25,0.32,600.0,0.25,1.0,0.8,240.0,0.0,2.5
80,512e354b0c80666cc0a55f9372350eda3b996714,interrupted,,,,,10.82,,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/bayesian_optuna/trial_00080_512e354b0c,Interrupted by Ctrl+C.,2.0,0.45,0.06,0.42,0.1,8.0,0.16,0.18,0.18,0.12,12.0,7.0,0.4,2.25,9.5,0.5,3.25,250.0,81.0,13.0,1.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,5.5,7.0,5.0,0.30000000000000004,0.32,600.0,0.25,1.0,1.1,240.0,0.0,2.0
