trial,candidate_key,status,overall_mean,period_stddev,peak_period_att,high_period_count,elapsed_seconds,return_code,trial_dir,error,enable_custom_berth_priority,enable_schedule_aware_booking,enable_hub_transfer_consolidation,enable_initial_time_routing,enable_controlled_alternative_routes,enable_in_transit_replanning,suppress_kaohsiung_s2_detour
16,3c9e59681160793556226c72ac3313f55d88b11e,success,32.08,11.14,52.73,52,740.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00016_3c9e596811,,1.0,0.0,1.0,1.0,0.0,0.0,0.0
17,4881e7ad8b2b179ed19281022c8930cbfe492382,success,20.45,1.35,24.63,23,810.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00017_4881e7ad8b,,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18,1e2ec11f73bfd4b9e1e9a3eb04413a8867a11a3e,success,25.24,4.59,32.28,53,835.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00018_1e2ec11f73,,1.0,0.0,1.0,0.0,0.0,1.0,0.0
19,33283ec76945c9b1a4edd06323f88e968dceb32c,success,20.45,1.35,24.63,23,800.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00019_33283ec769,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20,d940e9dccb06b43551d54736c7450eb94c6669b8,success,20.45,1.35,24.63,23,815.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00020_d940e9dccb,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
21,ddb33ef714037dcac5bd997a251128ef6edaa063,success,20.45,1.35,24.63,23,815.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00021_ddb33ef714,,1.0,1.0,0.0,0.0,1.0,0.0,0.0
22,75e0995a513db981d653e6f78b9f185b5dbfaf79,success,25.24,4.59,32.28,53,840.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00022_75e0995a51,,1.0,1.0,0.0,0.0,0.0,1.0,0.0
23,27b872c39b0ed4931a4ff30d09465275d1ec02b2,success,20.45,1.35,24.63,23,805.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00023_27b872c39b,,1.0,1.0,0.0,0.0,0.0,0.0,1.0
24,3abf8126518dd58045ed67af22a946f2172ffbf3,success,20.03,1.09,23.49,14,880.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00024_3abf812651,,1.0,1.0,1.0,1.0,1.0,0.0,0.0
25,303d8d82d8beaed0e327514ccef7bc6d6c1d8306,success,24.65,4.29,31.71,52,900.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00025_303d8d82d8,,1.0,1.0,1.0,1.0,0.0,1.0,0.0
